Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Value,Wage,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,Attacking work rate,Defensive work rate,Unnamed: 28
,J. Maddison CM CAM,28,83,83,Tottenham Hotspur 2023 ~ 2028,220697,"175cm 5'9""",73kg 161lbs,Right,€36.5M,€135K,70,65,68,56,58,87,87,68,45,11,14,12,4,4,,,
,D. Kulusevski CM RW CAM,25,83,86,Tottenham Hotspur 2023 ~ 2028,247394,"186cm 6'1""",80kg 176lbs,Left,€47.5M,€125K,77,72,89,78,65,86,85,66,58,14,5,10,3,4,,,
,J. Bowen RM ST RW,28,83,83,West Ham United 2020 ~ 2030,224371,"176cm 5'9""",70kg 154lbs,Left,€36.5M,€100K,78,74,83,66,37,79,80,41,37,14,8,10,4,4,,,
,W. Zaïre-Emery CM CDM RB CAM,19,83,89,Paris Saint-Germain 2022 ~ 2029,270673,"178cm 5'10""",68kg 150lbs,Right,€55M,€73K,82,79,93,88,84,79,79,85,73,14,11,8,4,3,,,
,M. Greenwood RM CAM RW,23,83,86,Olympique de Marseille 2024 ~ 2029,246147,"181cm 5'11""",80kg 176lbs,Left,€49.5M,€51K,82,84,79,60,34,80,82,39,33,5,6,9,5,4,,,
,S. Gnabry CAM LM ST,29,83,83,FC Bayern München 2017 ~ 2028,206113,"176cm 5'9""",77kg 170lbs,Right,€35.5M,€87K,84,75,66,68,38,82,83,44,43,14,10,9,4,4,,,
,A. Davies LB LM,24,83,86,FC Bayern München 2019 ~ 2030,234396,"185cm 6'1""",77kg 170lbs,Left,€46M,€68K,94,93,77,75,79,77,78,74,73,11,11,5,3,4,,,
,W. Anton CB,28,83,83,Borussia Dortmund 2024 ~ 2028,229476,"189cm 6'2""",86kg 190lbs,Right,€31.5M,€66K,65,73,79,86,82,70,80,86,78,11,12,13,3,2,,,
,M. Ginter CB,31,83,83,SC Freiburg 2022 ~ 2027,207862,"190cm 6'3""",89kg 196lbs,Right,€25M,€45K,54,56,61,83,84,71,78,87,82,12,10,8,3,2,,,
,E. Palacios CM CDM,26,83,83,Bayer 04 Leverkusen 2020 ~ 2030,231521,"178cm 5'10""",69kg 152lbs,Right,€39.5M,€100K,72,53,68,67,86,83,83,84,80,10,5,9,4,3,,,
,M. Mittelstädt LB LM,28,83,83,VfB Stuttgart 2023 ~ 2028,227647,"180cm 5'11""",71kg 157lbs,Left,€33M,€57K,79,79,84,67,81,77,76,83,77,13,10,13,2,3,,,
,A. Stiller CDM CM,24,83,87,VfB Stuttgart 2023 ~ 2028,250959,"183cm 6'0""",77kg 170lbs,Left,€47.5M,€47K,68,47,80,67,80,87,86,78,69,7,14,9,3,3,,,
,W. Orban CB,32,83,83,RB Leipzig 2015 ~ 2027,204638,"186cm 6'1""",89kg 196lbs,Right,€23.5M,€74K,48,65,74,85,83,44,73,87,81,15,12,10,3,2,,,
,D. Raum LB LM,27,83,83,RB Leipzig 2022 ~ 2027,236703,"181cm 5'11""",83kg 183lbs,Left,€35M,€71K,86,86,89,77,77,80,79,76,81,11,8,12,2,3,,,
,H. Mkhitaryan CM CAM,36,83,83,Inter 2022 ~ 2028,192883,"177cm 5'10""",75kg 165lbs,Right,€11.5M,€37K,79,76,84,67,76,84,85,74,70,5,11,5,5,4,,,
,S. de Vrij CB,33,83,83,Inter 2018 ~ 2029,198176,"189cm 6'2""",78kg 172lbs,Right,€17.5M,€47K,63,61,68,74,85,70,85,87,82,8,10,14,3,2,,,
,F. Acerbi CB,37,83,83,Inter 2023 ~ 2029,199845,"192cm 6'4""",88kg 194lbs,Left,€6.5M,€35K,58,52,69,84,87,65,86,84,82,11,9,13,3,3,,,
,M. Akanji CB,29,83,83,"Inter Jun 30, 2026 On loan",229237,"187cm 6'2""",85kg 187lbs,Right,€30.5M,€145K,75,81,71,88,82,65,80,84,83,10,9,6,4,2,,,
,M. Zaccagni LW LM,30,83,83,Lazio 2021 ~ 2029,220502,"177cm 5'10""",63kg 139lbs,Right,€35M,€56K,90,87,81,59,58,79,83,58,52,13,16,8,4,4,,,
,I. Provedel GK,31,83,83,Lazio 2022 ~ 2027,224987,"192cm 6'4""",84kg 185lbs,Right,€19M,€33K,44,40,28,56,22,63,68,23,22,84,79,83,2,1,,,
,R. Lukaku ST,32,83,83,Napoli 2024 ~ 2027,192505,"191cm 6'3""",94kg 207lbs,Left,€29.5M,€135K,70,85,72,94,36,82,82,40,30,8,15,7,4,3,,,
,S. Lobotka CM CDM,30,83,83,Napoli 2020 ~ 2027,216435,"170cm 5'7""",68kg 150lbs,Right,€34.5M,€125K,76,67,88,61,79,82,77,79,75,10,7,13,4,3,,,
,G. Di Lorenzo RB CB RM CM,31,83,83,Napoli 2019 ~ 2028,217870,"183cm 6'0""",82kg 181lbs,Right,€26.5M,€120K,83,85,90,74,78,68,74,81,78,8,10,10,4,3,,,
,A. Zambo Anguissa CM CAM,29,83,83,Napoli 2022 ~ 2027,227236,"184cm 6'0""",83kg 183lbs,Right,€35.5M,€125K,74,76,89,82,80,81,80,80,76,11,11,8,3,3,,,
,A. Rrahmani CB,31,83,83,Napoli 2020 ~ 2027,244263,"192cm 6'4""",75kg 165lbs,Right,€25M,€120K,54,82,71,80,85,48,70,82,80,12,8,8,4,2,,,
,R. Orsolini RM RW,28,83,83,Bologna 2019 ~ 2027,233556,"183cm 6'0""",83kg 183lbs,Left,€36.5M,€74K,81,78,74,71,40,79,76,48,38,11,11,6,4,4,,,
,M. Kean ST,25,83,86,Fiorentina 2024 ~ 2029,236610,"183cm 6'0""",72kg 159lbs,Right,€48.5M,€74K,84,87,82,72,31,58,77,36,30,13,8,7,3,3,,,
,J. Giménez CB,30,83,83,Atlético Madrid 2013 ~ 2028,216460,"186cm 6'1""",77kg 170lbs,Right,€30M,€86K,68,73,68,85,83,46,75,84,83,9,11,10,3,2,,,
,A. Sørloth ST RW RM,29,83,83,Atlético Madrid 2024 ~ 2028,216549,"196cm 6'5""",90kg 198lbs,Left,€36.5M,€95K,72,81,80,90,36,73,83,23,21,15,12,15,4,3,,,
,A. Lookman ST CAM LM,27,83,83,Atlético Madrid 2026 ~ 2030,230899,"174cm 5'9""",71kg 157lbs,Right,€39.5M,€95K,89,84,75,63,35,80,80,23,24,12,12,15,4,4,,,
,D. Hancko LB CB CDM,27,83,83,Atlético Madrid 2025 ~ 2030,247103,"188cm 6'2""",82kg 181lbs,Left,€35M,€82K,77,78,79,87,80,72,77,84,82,14,12,7,3,2,,,
,Pablo Barrios CM CDM,22,83,87,Atlético Madrid 2022 ~ 2030,272449,"183cm 6'0""",75kg 165lbs,Right,€52.5M,€75K,81,82,87,73,84,81,82,80,72,5,15,13,3,3,,,
,W. Szczęsny GK,35,83,83,FC Barcelona 2024 ~ 2027,186153,"195cm 6'5""",90kg 198lbs,Right,€4M,€45K,49,46,45,65,15,48,65,13,12,80,82,83,3,1,,,
,Eric García CB RB CDM RM,24,83,86,FC Barcelona 2021 ~ 2031,245037,"183cm 6'0""",76kg 168lbs,Right,€44.5M,€95K,77,81,80,79,85,75,81,86,80,11,9,11,3,2,,,
,Balde LB LM,21,83,87,FC Barcelona 2021 ~ 2028,263578,"175cm 5'9""",69kg 152lbs,Left,€49.5M,€80K,90,90,77,69,78,72,64,80,80,5,8,10,4,3,,,
,Gavi CM CDM CAM,20,83,87,FC Barcelona 2020 ~ 2030,264240,"173cm 5'8""",70kg 154lbs,Right,€51M,€85K,77,75,84,58,79,83,77,78,72,8,10,7,3,3,,,
,Fermín CAM CM ST,22,83,87,FC Barcelona 2023 ~ 2031,277179,"174cm 5'9""",64kg 141lbs,Right,€53M,€100K,78,79,84,59,68,84,81,74,68,8,14,7,4,3,,,
,Pau Cubarsí CB,18,83,89,FC Barcelona 2023 ~ 2029,278046,"183cm 6'0""",79kg 174lbs,Right,€48M,€70K,72,77,70,79,83,75,80,84,83,10,6,7,4,2,,,
,A. Güler RM CM CAM RW,20,83,89,Real Madrid 2023 ~ 2029,264309,"175cm 5'9""",70kg 154lbs,Left,€56.5M,€150K,79,76,77,50,58,87,80,62,48,13,10,14,3,4,,,
,Oyarzabal ST,28,83,83,Real Sociedad 2014 ~ 2028,230142,"181cm 5'11""",78kg 172lbs,Left,€37M,€65K,74,73,79,72,32,83,85,47,30,10,6,13,3,3,,,
,B. White RB CM,27,82,82,Arsenal 2021 ~ 2028,231936,"186cm 6'1""",77kg 170lbs,Right,€29.5M,€135K,68,71,78,77,83,76,81,83,81,8,11,5,4,2,,,
,K. Havertz ST CAM CM,26,82,84,Arsenal 2023 ~ 2028,235790,"193cm 6'4""",82kg 181lbs,Left,€38M,€155K,71,72,85,75,43,81,78,47,41,6,8,10,4,4,,,
,R. Calafiori LB CB CM,23,82,86,Arsenal 2024 ~ 2029,257711,"188cm 6'2""",86kg 190lbs,Left,€40.5M,€120K,74,72,85,78,80,69,76,80,82,9,11,6,5,3,,,
,O. Watkins ST,29,82,82,Aston Villa 2020 ~ 2028,221697,"180cm 5'11""",70kg 154lbs,Right,€30.5M,€140K,77,77,88,76,55,77,77,46,36,14,14,6,4,3,,,
,Pedro Neto RM LM RW,25,82,83,Chelsea 2024 ~ 2031,238616,"174cm 5'9""",69kg 152lbs,Left,€36.5M,€130K,92,90,81,65,40,80,79,40,25,6,13,12,4,4,,,
,João Pedro ST CAM,23,82,86,Chelsea 2025 ~ 2033,252042,"186cm 6'1""",82kg 181lbs,Right,€44M,€130K,80,79,75,75,38,77,82,27,23,7,6,8,4,4,,,
,J. Grealish LM LW,29,82,82,"Everton Jun 30, 2026 On loan",206517,"180cm 5'11""",81kg 179lbs,Right,€30M,€140K,75,70,70,67,49,85,86,54,48,11,6,10,3,4,,,
,I. Ndiaye RM LM RW,25,82,83,Everton 2024 ~ 2029,261188,"180cm 5'11""",70kg 154lbs,Right,€36.5M,€55K,87,86,76,66,49,78,86,39,32,7,9,15,4,4,,,
,J. Frimpong RB RM RW,24,82,84,Liverpool 2025 ~ 2030,253149,"172cm 5'8""",65kg 143lbs,Right,€36.5M,€95K,95,93,85,47,77,73,76,71,79,12,7,13,3,3,,,
,J. Stones CB RB CDM,31,82,82,Manchester City 2016 ~ 2029,203574,"188cm 6'2""",80kg 176lbs,Right,€21M,€135K,65,64,53,78,83,78,85,85,84,7,15,10,4,3,,,
,M. Kovačić CM CDM CAM,31,82,82,Manchester City 2023 ~ 2027,207410,"177cm 5'10""",77kg 170lbs,Right,€25M,€140K,68,64,75,68,76,81,82,76,78,9,5,7,4,3,,,
,N. Aké CB LB CDM,30,82,82,Manchester City 2020 ~ 2027,208920,"180cm 5'11""",75kg 165lbs,Left,€25M,€135K,74,73,65,76,83,68,78,83,82,10,7,16,3,2,,,
,Matheus Nunes RB CM RM,26,82,83,Manchester City 2023 ~ 2028,253124,"184cm 6'0""",78kg 172lbs,Right,€33M,€130K,82,91,82,74,80,79,80,80,80,13,10,12,3,3,,,
,Casemiro CDM CM,33,82,82,Manchester United 2022 ~ 2029,200145,"185cm 6'1""",84kg 185lbs,Right,€15M,€100K,35,36,68,81,77,80,77,84,84,13,14,12,3,2,,,
,M. de Ligt CB,25,82,84,Manchester United 2024 ~ 2029,235243,"189cm 6'2""",89kg 196lbs,Right,€34M,€95K,54,68,64,91,83,45,80,81,80,12,11,12,3,2,,,
,F. Schär CB,33,82,82,Newcastle United 2018 ~ 2029,210047,"188cm 6'2""",84kg 185lbs,Right,€14.5M,€135K,50,51,75,80,85,79,82,84,80,8,9,10,3,2,,,
,A. Gordon LW ST RW LM,24,82,85,Newcastle United 2023 ~ 2030,242964,"183cm 6'0""",72kg 159lbs,Right,€41.5M,€125K,89,92,87,61,40,79,80,56,48,5,6,7,3,3,,,
,E. Anderson CDM CM,22,82,86,Nottingham Forest 2024 ~ 2029,254243,"179cm 5'10""",69kg 152lbs,Right,€40.5M,€90K,75,68,88,75,80,81,82,83,78,6,12,10,4,3,,,
,Murillo CB,22,82,86,Nottingham Forest 2023 ~ 2030,278016,"180cm 5'11""",75kg 165lbs,Left,€40M,€90K,83,78,70,90,83,62,78,82,84,14,9,12,3,2,,,
,Palhinha CDM CM,29,82,82,"Tottenham Hotspur Jun 30, 2026 On loan",229391,"190cm 6'3""",83kg 183lbs,Right,€26M,€75K,51,53,77,84,84,71,84,85,85,14,10,7,4,2,,,
,C. Romero CB,27,82,84,Tottenham Hotspur 2022 ~ 2029,232488,"185cm 6'1""",79kg 174lbs,Right,€32.5M,€115K,63,68,69,83,84,60,79,81,86,5,7,10,2,3,,,
,Pedro Porro RB RM,25,82,85,Tottenham Hotspur 2023 ~ 2028,243576,"173cm 5'8""",69kg 152lbs,Right,€37M,€105K,78,78,91,68,78,80,79,79,77,15,7,5,3,3,,,
,X. Simons CAM LM LW ST,22,82,85,Tottenham Hotspur 2025 ~ 2030,245367,"179cm 5'10""",58kg 128lbs,Right,€42.5M,€105K,83,72,82,62,65,84,81,62,56,9,11,8,3,4,,,
,M. van de Ven CB LB,24,82,85,Tottenham Hotspur 2023 ~ 2029,264453,"193cm 6'4""",86kg 190lbs,Left,€37M,€95K,84,95,71,85,80,59,83,82,86,7,13,11,3,3,,,
,D. Henderson GK,28,82,83,Crystal Palace 2023 ~ 2028,233306,"188cm 6'2""",85kg 187lbs,Right,€24M,€67K,55,56,32,64,11,55,60,14,14,83,79,81,3,1,,,
,J. Mateta ST,28,82,82,Crystal Palace 2022 ~ 2027,236461,"192cm 6'4""",88kg 194lbs,Right,€31M,€115K,69,80,68,88,41,74,81,39,30,8,8,13,5,3,,,
,D. Muñoz RB RM,29,82,82,Crystal Palace 2024 ~ 2028,237646,"181cm 5'11""",73kg 161lbs,Right,€27M,€100K,77,79,88,74,79,70,76,82,82,7,14,7,3,3,,,
,C. Tolisso CM CDM CAM,30,82,82,Olympique Lyonnais 2022 ~ 2027,219683,"181cm 5'11""",81kg 179lbs,Right,€29M,€33K,66,72,84,81,79,80,82,80,76,7,10,9,2,3,,,
,M. Safonov GK,26,82,86,Paris Saint-Germain 2024 ~ 2029,240225,"192cm 6'4""",82kg 181lbs,Right,€33M,€58K,46,42,38,65,17,63,59,14,12,81,75,82,2,1,,,
,L. Chevalier GK,23,82,86,Paris Saint-Germain 2025 ~ 2030,251752,"189cm 6'2""",84kg 185lbs,Right,€34.5M,€46K,52,46,41,53,10,47,45,10,11,84,78,79,3,1,,,
,M. Neuer GK,39,82,82,FC Bayern München 2011 ~ 2030,167495,"193cm 6'4""",90kg 198lbs,Right,€3.4M,€23K,29,35,43,80,30,68,66,10,11,80,80,84,4,1,,,
,Kim Min Jae CB,28,82,82,FC Bayern München 2023 ~ 2028,237086,"190cm 6'3""",85kg 187lbs,Right,€26.5M,€75K,73,73,79,85,88,57,66,84,81,13,7,14,3,2,,,
,A. Pavlović CDM CM,21,82,87,FC Bayern München 2023 ~ 2029,275298,"188cm 6'2""",78kg 172lbs,Right,€43M,€52K,66,59,78,76,79,83,85,77,78,6,9,9,4,3,,,
,E. Can CB CDM,31,82,82,Borussia Dortmund 2020 ~ 2027,208333,"186cm 6'1""",86kg 190lbs,Right,€21M,€60K,64,76,73,85,78,69,83,86,85,14,8,13,4,3,,,
,J. Brandt CAM CM,29,82,82,Borussia Dortmund 2019 ~ 2030,212194,"185cm 6'1""",83kg 183lbs,Right,€30M,€64K,67,79,85,72,56,86,85,29,39,11,16,8,4,4,,,
,K. Adeyemi RM LW CAM RW,23,82,86,Borussia Dortmund 2022 ~ 2027,251852,"180cm 5'11""",77kg 170lbs,Left,€43.5M,€52K,96,96,77,67,31,74,76,34,49,12,12,12,3,4,,,
,E. Tapsoba CB,26,82,83,Bayer 04 Leverkusen 2020 ~ 2028,247263,"192cm 6'4""",84kg 185lbs,Right,€31.5M,€86K,73,76,74,83,85,74,78,81,79,5,10,7,4,2,,,
,D. Undav ST CAM,28,82,82,VfB Stuttgart 2024 ~ 2027,244176,"179cm 5'10""",86kg 190lbs,Right,€31M,€59K,68,66,74,84,18,83,84,37,29,9,12,11,5,3,,,
,J. Burkardt ST,24,82,85,Eintracht Frankfurt 2025 ~ 2030,244257,"181cm 5'11""",76kg 168lbs,Right,€42M,€43K,82,83,79,76,42,71,77,38,33,14,9,6,4,3,,,
,C. De Ketelaere CAM ST CM,24,82,86,Atalanta 2024 ~ 2028,251470,"192cm 6'4""",74kg 163lbs,Left,€43.5M,€72K,72,71,78,69,56,83,73,59,54,11,8,8,3,4,,,
,Éderson CM CDM,25,82,85,Atalanta 2022 ~ 2027,266866,"183cm 6'0""",83kg 183lbs,Right,€40M,€77K,78,78,90,77,81,80,84,84,75,14,10,13,3,3,,,
,L. Openda ST CAM,25,82,84,"Juventus Jun 30, 2026 On loan",243580,"175cm 5'9""",79kg 174lbs,Right,€38.5M,€70K,94,96,82,79,26,69,80,23,19,9,8,8,4,3,,,
,K. Yıldız CAM LM LW CM,20,82,89,Juventus 2023 ~ 2029,277954,"187cm 6'2""",75kg 165lbs,Right,€60.5M,€100K,85,84,72,67,54,80,77,51,50,14,14,8,5,4,,,
,A. Romagnoli CB,30,82,82,Lazio 2022 ~ 2027,210413,"185cm 6'1""",75kg 165lbs,Left,€25M,€46K,65,64,77,80,84,45,77,84,83,9,14,8,3,2,,,
,A. Meret GK,28,82,84,Napoli 2019 ~ 2027,225116,"192cm 6'4""",82kg 181lbs,Left,€26M,€72K,41,48,29,65,22,40,67,22,14,81,79,84,3,1,,,
,A. Buongiorno CB,26,82,86,Napoli 2024 ~ 2029,243241,"190cm 6'3""",86kg 190lbs,Left,€37.5M,€105K,65,72,78,78,85,66,77,84,78,13,11,11,3,2,,,
,R. Freuler CDM CM,33,82,82,Bologna 2023 ~ 2029,202024,"180cm 5'11""",77kg 170lbs,Right,€15M,€65K,63,53,91,67,79,78,83,84,75,12,8,14,3,4,,,
,W. Falcone GK,30,82,82,Lecce 2023 ~ 2028,210676,"196cm 6'5""",85kg 187lbs,Right,€20.5M,€13K,26,28,28,62,8,45,44,13,18,84,81,79,2,1,,,
,Nico Paz CAM RM ST CM,20,82,89,Como 2024 ~ 2028,277846,"186cm 6'1""",81kg 179lbs,Left,€60.5M,€82K,78,80,77,68,61,80,78,69,48,14,10,12,3,4,,,
,D. Berardi RW RM,30,82,82,Sassuolo 2015 ~ 2029,210935,"183cm 6'0""",72kg 159lbs,Left,€29.5M,€36K,84,81,75,61,36,80,78,30,30,5,6,5,3,4,,,
,Giuliano RM RW LM,22,82,86,Atlético Madrid 2020 ~ 2030,253396,"174cm 5'9""",75kg 165lbs,Right,€44.5M,€69K,94,91,91,79,57,78,77,60,52,8,14,14,3,3,,,
,Álex Baena LM CM LW,23,82,87,Atlético Madrid 2025 ~ 2030,257279,"175cm 5'9""",70kg 154lbs,Right,€46M,€69K,79,79,78,60,69,83,75,66,64,6,11,12,4,3,,,
,M. Rashford LW LM ST,27,82,82,"FC Barcelona Jun 30, 2026 On loan",231677,"188cm 6'2""",80kg 176lbs,Right,€32.5M,€110K,89,93,70,71,27,80,78,29,24,11,6,7,3,5,,,
,A. Laporte CB,31,82,82,Athletic Club 2025 ~ 2028,212218,"189cm 6'2""",86kg 190lbs,Left,€21M,€56K,49,60,70,84,84,79,84,85,83,10,11,14,3,2,,,
,Sancet CAM CM ST,25,82,85,Athletic Club 2017 ~ 2032,244675,"188cm 6'2""",73kg 161lbs,Right,€40.5M,€55K,74,77,84,80,70,81,86,67,69,15,11,15,4,4,,,
,Vivian CB,25,82,85,Athletic Club 2019 ~ 2032,248550,"183cm 6'0""",78kg 172lbs,Right,€36M,€51K,79,76,79,83,84,63,70,84,83,9,8,10,2,2,,,
,Iago Aspas RW ST CAM RM,37,82,82,RC Celta 2015 ~ 2027,192629,"176cm 5'9""",67kg 148lbs,Left,€10M,€35K,76,74,51,63,39,82,84,25,18,12,16,12,4,3,,,
,Álex Remiro GK,30,82,82,Real Sociedad 2019 ~ 2027,227127,"191cm 6'3""",79kg 174lbs,Right,€20.5M,€34K,44,46,42,73,20,50,55,17,18,83,78,82,4,1,,,
,A. Budimir ST,33,82,82,CA Osasuna 2021 ~ 2027,188335,"190cm 6'3""",75kg 165lbs,Left,€19.5M,€53K,62,68,75,84,24,60,75,35,27,11,14,16,4,3,,,
,Moleiro LM CAM LW,21,82,87,Villarreal CF 2025 ~ 2030,264388,"172cm 5'8""",67kg 148lbs,Right,€47M,€39K,87,86,79,65,48,81,78,55,53,6,9,8,4,4,,,
,Gabriel Martinelli LW LM CM,24,81,84,Arsenal 2019 ~ 2027,251566,"178cm 5'10""",75kg 165lbs,Right,€35M,€125K,92,89,82,63,39,77,79,44,43,10,6,6,3,4,,,
,J. McGinn RM LM CAM RB,30,81,81,Aston Villa 2018 ~ 2028,210881,"178cm 5'10""",68kg 150lbs,Left,€25M,€120K,69,69,92,79,79,79,77,82,75,9,13,10,2,3,,,
,M. Cash RB RM,27,81,81,Aston Villa 2020 ~ 2029,227174,"185cm 6'1""",74kg 163lbs,Right,€25M,€110K,74,75,86,68,78,70,75,80,80,15,16,13,3,3,,,
,A. Onana CDM CM,23,81,84,Aston Villa 2024 ~ 2029,257057,"195cm 6'5""",76kg 168lbs,Right,€32M,€95K,64,82,76,84,83,77,79,82,82,7,12,9,4,3,,,
,Robert Sánchez GK,27,81,82,Chelsea 2023 ~ 2030,228789,"197cm 6'6""",90kg 198lbs,Right,€22M,€76K,55,65,40,77,15,55,55,17,15,82,79,80,3,1,,,
,J. Garner CDM RB CM,24,81,84,Everton 2022 ~ 2030,243657,"182cm 6'0""",80kg 176lbs,Right,€32M,€44K,65,64,86,70,83,79,79,81,84,10,7,5,3,3,,,
,A. Robertson LB LM,31,81,81,Liverpool 2017 ~ 2030,216267,"178cm 5'10""",64kg 141lbs,Left,€18.5M,€105K,75,74,77,67,79,78,78,79,80,11,8,7,2,3,,,
,M. Kerkez LB LM,21,81,85,Liverpool 2025 ~ 2030,260908,"180cm 5'11""",71kg 157lbs,Left,€35M,€75K,88,87,90,75,78,76,75,78,80,8,13,13,3,3,,,
,R. Aït-Nouri LB LM,24,81,85,Manchester City 2025 ~ 2030,242641,"180cm 5'11""",70kg 154lbs,Left,€34.5M,€100K,85,84,80,65,78,75,80,78,80,15,11,14,3,5,,,
,Nico González CDM CM,23,81,85,Manchester City 2025 ~ 2029,255069,"188cm 6'2""",88kg 194lbs,Right,€33.5M,€100K,66,67,76,79,80,80,79,79,81,14,14,12,2,3,,,
,Savinho RW LW RM,21,81,86,Manchester City 2024 ~ 2031,270409,"176cm 5'9""",71kg 157lbs,Left,€39.5M,€100K,89,85,73,45,25,80,84,30,36,9,12,9,2,4,,,
,N. O'Reilly LB CM,20,81,86,Manchester City 2021 ~ 2030,277427,"193cm 6'4""",77kg 170lbs,Left,€35.5M,€86K,79,86,78,80,79,77,81,79,78,7,13,7,2,3,,,
,H. Maguire CB,32,81,81,Manchester United 2019 ~ 2027,203263,"194cm 6'4""",100kg 220lbs,Right,€16.5M,€95K,37,34,66,89,82,69,79,83,79,14,16,14,3,2,,,
,L. Martínez CB,27,81,82,Manchester United 2022 ~ 2027,239301,"178cm 5'10""",77kg 170lbs,Left,€26M,€90K,70,65,73,77,84,76,79,81,84,6,14,14,3,3,,,
,S. Lammens GK,22,81,87,Manchester United 2025 ~ 2030,254803,"193cm 6'4""",92kg 203lbs,Right,€33.5M,€45K,45,45,29,79,15,58,65,15,12,80,83,81,4,1,,,
,Joelinton CM CDM,28,81,81,Newcastle United 2019 ~ 2028,223334,"186cm 6'1""",81kg 179lbs,Right,€25.5M,€130K,69,78,89,90,84,79,82,84,77,9,13,13,3,3,,,
,Y. Wissa ST,28,81,81,Newcastle United 2025 ~ 2029,234824,"176cm 5'9""",74kg 163lbs,Right,€26.5M,€140K,83,87,78,68,31,72,74,24,19,14,7,8,3,3,,,
,S. Botman CB,25,81,83,Newcastle United 2022 ~ 2030,251809,"193cm 6'4""",81kg 179lbs,Left,€28.5M,€115K,48,63,64,89,80,59,76,82,83,12,9,6,3,2,,,
,M. Thiaw CB,23,81,85,Newcastle United 2025 ~ 2029,256261,"194cm 6'4""",89kg 196lbs,Right,€33M,€100K,72,78,76,83,82,69,80,82,81,10,6,11,4,2,,,
,L. Hall LB LM,20,81,86,Newcastle United 2024 ~ 2029,266127,"179cm 5'10""",71kg 157lbs,Left,€35.5M,€86K,78,76,80,56,82,78,82,81,80,14,8,8,3,2,,,
,C. Wood ST,33,81,81,Nottingham Forest 2023 ~ 2027,192123,"191cm 6'3""",92kg 203lbs,Right,€16.5M,€115K,55,52,69,87,40,71,79,30,25,14,16,7,3,2,,,
,M. Sels GK,33,81,81,Nottingham Forest 2024 ~ 2027,199641,"188cm 6'2""",75kg 165lbs,Right,€8.5M,€66K,37,35,26,65,17,58,61,15,14,82,79,81,2,1,,,
,M. Gibbs-White CAM CM,25,81,83,Nottingham Forest 2022 ~ 2028,236015,"179cm 5'10""",66kg 146lbs,Right,€32.5M,€100K,76,75,80,68,60,83,84,60,57,7,7,15,3,4,,,
,G. Vicario GK,28,81,82,Tottenham Hotspur 2023 ~ 2028,240091,"194cm 6'4""",76kg 168lbs,Right,€20.5M,€71K,54,49,38,60,15,66,60,11,13,80,78,80,4,1,,,
,M. Kudus RW RM ST,24,81,83,Tottenham Hotspur 2025 ~ 2031,245155,"177cm 5'10""",70kg 154lbs,Left,€33.5M,€100K,91,88,73,78,59,77,81,66,46,6,12,7,3,4,,,
,A. Robinson LB LM,27,81,81,Fulham FC 2020 ~ 2028,229348,"183cm 6'0""",70kg 154lbs,Left,€25M,€90K,87,89,85,73,81,78,73,79,76,12,9,14,3,3,,,
,I. Sarr RW CAM RM,27,81,81,Crystal Palace 2024 ~ 2029,235353,"185cm 6'1""",70kg 154lbs,Right,€27.5M,€100K,89,93,72,72,37,81,82,39,30,14,13,6,2,3,,,
,M. Lacroix CB,25,81,83,Crystal Palace 2024 ~ 2029,244067,"190cm 6'3""",89kg 196lbs,Right,€28.5M,€86K,82,93,77,84,83,55,75,82,79,14,7,12,2,2,,,
,A. Wharton CDM CM,21,81,87,Crystal Palace 2024 ~ 2029,259240,"182cm 6'0""",70kg 154lbs,Left,€38M,€66K,60,63,69,66,78,85,83,78,79,5,11,6,3,3,,,
,K. Mitoma LM LW,28,81,81,Brighton & Hove Albion 2021 ~ 2027,255565,"178cm 5'10""",73kg 161lbs,Right,€26M,€105K,86,84,72,60,57,80,84,59,54,10,13,14,4,4,,,
,Igor Thiago ST,24,81,85,Brentford 2024 ~ 2031,275771,"191cm 6'3""",88kg 194lbs,Right,€37.5M,€82K,72,75,75,87,39,72,83,43,31,14,6,15,4,2,,,
,M. Senesi CB,28,81,81,AFC Bournemouth 2022 ~ 2028,236506,"185cm 6'1""",80kg 176lbs,Left,€22M,€85K,58,51,63,79,83,76,79,81,81,10,13,7,4,3,,,
,F. Thauvin RW ST RM,32,81,81,RC Lens 2025 ~ 2028,204970,"181cm 5'11""",70kg 154lbs,Left,€20.5M,€40K,70,71,84,62,48,84,81,42,40,8,11,10,3,4,,,
,D. Zakaria CDM CM CB,28,81,81,AS Monaco 2023 ~ 2028,229261,"190cm 6'3""",81kg 179lbs,Right,€22.5M,€42K,72,86,80,87,79,74,82,82,77,12,12,13,3,3,,,
,L. Hernández LB CB CM,29,81,81,Paris Saint-Germain 2023 ~ 2028,220814,"184cm 6'0""",79kg 174lbs,Left,€22.5M,€89K,68,74,68,78,80,71,80,84,82,10,7,14,2,2,,,
,P. Aubameyang ST,36,81,81,Olympique de Marseille 2025 ~ 2027,188567,"187cm 6'2""",80kg 176lbs,Right,€9M,€43K,76,90,61,70,44,71,79,35,29,6,9,9,4,4,,,
